"Name","Location","Type","Namespace","Source","Reference Count","Offcut Ref Count"
"__imp__KeTlsGetValue","820005fc","Data Label","Global","Imported","0","0"
"__imp____C_specific_handler","82000600","Data Label","Global","Imported","0","0"
"__imp__RtlInitAnsiString","82000604","Data Label","Global","Imported","0","0"
"__imp__ObCreateSymbolicLink","82000608","Data Label","Global","Imported","0","0"
"__imp__ObDeleteSymbolicLink","8200060c","Data Label","Global","Imported","0","0"
"__imp__MmAllocatePhysicalMemoryEx","82000610","Data Label","Global","Imported","0","0"
"__imp__KeEnterCriticalRegion","82000614","Data Label","Global","Imported","0","0"
"__imp__VdHSIOCalibrationLock","82000618","Data Label","Global","Imported","0","0"
"__imp__VdRetrainEDRAMWorker","8200061c","Data Label","Global","Imported","0","0"
"__imp__VdRetrainEDRAM","82000620","Data Label","Global","Imported","0","0"
"__imp__KeLeaveCriticalRegion","82000624","Data Label","Global","Imported","0","0"
"__imp__RtlFillMemoryUlong","82000628","Data Label","Global","Imported","0","0"
"__imp__VdInitializeScalerCommandBuffer","8200062c","Data Label","Global","Imported","0","0"
"__imp__VdGpuClockInMHz","82000630","Data Label","Global","Imported","0","0"
"__imp__VdCallGraphicsNotificationRoutines","82000634","Data Label","Global","Imported","0","0"
"__imp__VdQueryVideoFlags","82000638","Data Label","Global","Imported","0","0"
"__imp__ExThreadObjectType","8200063c","Data Label","Global","Imported","1","0"
"__imp__ObReferenceObjectByHandle","82000640","Data Label","Global","Imported","0","0"
"__imp__KeSetBasePriorityThread","82000644","Data Label","Global","Imported","0","0"
"__imp__ObDereferenceObject","82000648","Data Label","Global","Imported","0","0"
"__imp__KeSetEvent","8200064c","Data Label","Global","Imported","0","0"
"__imp__KeWaitForSingleObject","82000650","Data Label","Global","Imported","0","0"
"__imp__KeResetEvent","82000654","Data Label","Global","Imported","0","0"
"__imp__KeUnlockL2","82000658","Data Label","Global","Imported","0","0"
"__imp__KeLockL2","8200065c","Data Label","Global","Imported","0","0"
"__imp__VdIsHSIOTrainingSucceeded","82000660","Data Label","Global","Imported","0","0"
"__imp__VdInitializeEngines","82000664","Data Label","Global","Imported","0","0"
"__imp__VdSetGraphicsInterruptCallback","82000668","Data Label","Global","Imported","0","0"
"__imp__VdSetDisplayMode","8200066c","Data Label","Global","Imported","0","0"
"__imp__VdGetCurrentDisplayInformation","82000670","Data Label","Global","Imported","0","0"
"__imp__VdQueryVideoMode","82000674","Data Label","Global","Imported","0","0"
"__imp__ExGetXConfigSetting","82000678","Data Label","Global","Imported","0","0"
"__imp__ExRegisterTitleTerminateNotification","8200067c","Data Label","Global","Imported","0","0"
"__imp__VdShutdownEngines","82000680","Data Label","Global","Imported","0","0"
"__imp__XboxKrnlVersion","82000684","Data Label","Global","Imported","2","0"
"__imp___vsnprintf","82000688","Data Label","Global","Imported","0","0"
"__imp__DbgPrint","8200068c","Data Label","Global","Imported","0","0"
"__imp__KeBugCheck","82000690","Data Label","Global","Imported","0","0"
"__imp__VdEnableDisableClockGating","82000694","Data Label","Global","Imported","0","0"
"__imp__VdGetCurrentDisplayGamma","82000698","Data Label","Global","Imported","0","0"
"__imp__VdSetSystemCommandBufferGpuIdentifierAddress","8200069c","Data Label","Global","Imported","0","0"
"__imp__MmGetPhysicalAddress","820006a0","Data Label","Global","Imported","0","0"
"__imp__VdInitializeRingBuffer","820006a4","Data Label","Global","Imported","0","0"
"__imp__VdEnableRingBufferRPtrWriteBack","820006a8","Data Label","Global","Imported","0","0"
"__imp__KiApcNormalRoutineNop","820006ac","Data Label","Global","Imported","0","0"
"__imp__KeAcquireSpinLockAtRaisedIrql","820006b0","Data Label","Global","Imported","0","0"
"__imp__KeReleaseSpinLockFromRaisedIrql","820006b4","Data Label","Global","Imported","0","0"
"__imp__RtlInitializeCriticalSection","820006b8","Data Label","Global","Imported","0","0"
"__imp__sprintf","820006bc","Data Label","Global","Imported","0","0"
"__imp__VdGetSystemCommandBuffer","820006c0","Data Label","Global","Imported","0","0"
"__imp__VdSwap","820006c4","Data Label","Global","Imported","0","0"
"__imp__VdPersistDisplay","820006c8","Data Label","Global","Imported","0","0"
"__imp__MmFreePhysicalMemory","820006cc","Data Label","Global","Imported","0","0"
"__imp__KeQueryPerformanceFrequency","820006d0","Data Label","Global","Imported","0","0"
"__imp__KfAcquireSpinLock","820006d4","Data Label","Global","Imported","0","0"
"__imp__KfReleaseSpinLock","820006d8","Data Label","Global","Imported","0","0"
"__imp__KeDebugMonitorData","820006dc","Data Label","Global","Imported","13","0"
"__imp__RtlEnterCriticalSection","820006e0","Data Label","Global","Imported","0","0"
"__imp__RtlLeaveCriticalSection","820006e4","Data Label","Global","Imported","0","0"
"__imp__VdGlobalDevice","820006e8","Data Label","Global","Imported","11","0"
"__imp__KeCertMonitorData","820006ec","Data Label","Global","Imported","5","0"
"__imp__NtWriteFile","820006f0","Data Label","Global","Imported","0","0"
"__imp__XexGetModuleHandle","820006f4","Data Label","Global","Imported","0","0"
"__imp__KeEnableFpuExceptions","820006f8","Data Label","Global","Imported","0","0"
"__imp__RtlUnwind","820006fc","Data Label","Global","Imported","0","0"
"__imp__RtlCaptureContext","82000700","Data Label","Global","Imported","0","0"
"__imp__NtClearEvent","82000704","Data Label","Global","Imported","0","0"
"__imp__NtCancelTimer","82000708","Data Label","Global","Imported","0","0"
"__imp__NtSetEvent","8200070c","Data Label","Global","Imported","0","0"
